title,year,language,genres,rt_score,rt_url,reason,added_to_radarr
Radio Days,1987,English,Comedy,92,https://www.rottentomatoes.com/m/radio_days,Accepted: RT 92 meets threshold 85,true
Thelma & Louise,1991,English,Comedy|Drama|Adventure,87,https://www.rottentomatoes.com/m/thelma_and_louise,Accepted: RT 87 meets threshold 80,true
Vera Drake,2004,English,Drama,93,https://www.rottentomatoes.com/m/vera_drake,Accepted: RT 93 meets threshold 90,true
Belle de Jour,1967,French,Drama,95,https://www.rottentomatoes.com/m/belle_de_jour,Accepted: RT 95 meets threshold 85,false
The Green Ray,1986,French,Comedy|Drama,94,https://www.rottentomatoes.com/m/the_green_ray_1986,Accepted: RT 94 meets threshold 85,false
Au revoir les enfants,1987,French,Drama,97,https://www.rottentomatoes.com/m/au_revoir_les_enfants,Accepted: RT 97 meets threshold 85,false
Vive L'Amour,1994,Chinese,Drama,85,https://www.rottentomatoes.com/m/vive_lamour_1994,Accepted: RT 85 meets threshold 80,false
Cyclo,1995,Vietnamese,Crime|Drama,82,https://www.rottentomatoes.com/m/cyclo,Accepted: RT 82 meets threshold 80,false
Not One Less,1999,Chinese,Drama,96,https://www.rottentomatoes.com/m/not_one_less,Accepted: RT 96 meets threshold 80,false
Heartland,1979,English,Western,100,https://www.rottentomatoes.com/m/heartland,Accepted: RT 100 meets threshold 85,true
Love Streams,1984,English,Drama,100,https://www.rottentomatoes.com/m/love_streams,Accepted: RT 100 meets threshold 85,true
Central Station,1998,Portuguese,Drama,94,https://www.rottentomatoes.com/m/central_station,Accepted: RT 94 meets threshold 80,false
Taxi,2015,German,Comedy|Drama,96,https://www.rottentomatoes.com/m/taxi_2015,Accepted: RT 96 meets threshold 90,false
Monty Python's The Meaning of Life,1983,English,Comedy,86,https://www.rottentomatoes.com/m/monty_pythons_the_meaning_of_life,Accepted: RT 86 meets threshold 85,true
The Sacrifice,1986,Swedish,Drama,88,https://www.rottentomatoes.com/m/the_sacrifice_1986,Accepted: RT 88 meets threshold 85,false
To Live,1994,Chinese,Drama,87,https://www.rottentomatoes.com/m/to_live,Accepted: RT 87 meets threshold 80,false
Atlantics,2019,French,Drama,96,https://www.rottentomatoes.com/m/atlantics_2019,Accepted: RT 96 meets threshold 90,false
Close,2022,French,Drama,91,https://www.rottentomatoes.com/m/close_2022,Accepted: RT 91 meets threshold 80,false
Cries and Whispers,1972,Swedish,Drama,92,https://www.rottentomatoes.com/m/cries_and_whispers,Accepted: RT 92 meets threshold 85,false
First Cow,2020,English,Western|Drama,96,https://www.rottentomatoes.com/m/first_cow,Accepted: RT 96 meets threshold 80,true
Blow-Up,1966,English,Crime|Drama,87,https://www.rottentomatoes.com/m/blow_up_1966,Accepted: RT 87 meets threshold 85,false
Persona,1967,Swedish,Drama,91,https://www.rottentomatoes.com/m/persona,Accepted: RT 91 meets threshold 85,false
Melvin and Howard,1980,English,Comedy|Drama,91,https://www.rottentomatoes.com/m/melvin_and_howard,Accepted: RT 91 meets threshold 85,false
Stranger Than Paradise,1984,English,Comedy|Drama,100,https://www.rottentomatoes.com/m/stranger_than_paradise,Accepted: RT 100 meets threshold 85,false
The Dead,1987,English,Drama,94,https://www.rottentomatoes.com/m/the_dead,Accepted: RT 94 meets threshold 85,false
The Unbearable Lightness of Being,1988,English,Drama,86,https://www.rottentomatoes.com/m/the_unbearable_lightness_of_being,Accepted: RT 86 meets threshold 85,false
Drugstore Cowboy,1989,English,Comedy|Crime|Drama,97,https://www.rottentomatoes.com/m/drugstore_cowboy,Accepted: RT 97 meets threshold 85,false
Yi Yi,2000,Chinese,Drama,97,https://www.rottentomatoes.com/m/yi_yi,Accepted: RT 97 meets threshold 90,false
The Rider,2018,English,Drama|Western,97,https://www.rottentomatoes.com/m/the_rider_2018,Accepted: RT 97 meets threshold 90,true
