title,year,language,genres,rt_score,rt_url,reason,source_list,classification_source,added_to_radarr
Close-Up,1999,Persian,Drama|Biography,89,https://www.rottentomatoes.com/m/close_up_1999,Accepted: RT 89 meets threshold 80,metacritic_browse_1978_plus,radarr_lookup,false
35 Shots of Rum,2009,French,Drama,97,https://www.rottentomatoes.com/m/35_shots_of_rum,Accepted: RT 97 meets threshold 90,metacritic_browse_1978_plus,radarr_lookup,false
Leviathan,2014,Russian,Drama,97,https://www.rottentomatoes.com/m/leviathan_2014,Accepted: RT 97 meets threshold 90,metacritic_browse_1978_plus,radarr_lookup,false
Burning,2018,Hindi,Mystery & Thriller|Drama,95,https://www.rottentomatoes.com/m/burning_2018,Accepted: RT 95 meets threshold 90,metacritic_browse_1978_plus,radarr_lookup,false
A Summer's Tale,2014,French,Romance|Comedy,98,https://www.rottentomatoes.com/m/a_summers_tale,Accepted: RT 98 meets threshold 90,metacritic_browse_1978_plus,radarr_lookup,false
Saint Omer,2023,French,Drama,95,https://www.rottentomatoes.com/m/saint_omer,Accepted: RT 95 meets threshold 80,metacritic_browse_1978_plus,radarr_lookup,false
Three Colors: White,1994,French,Drama,91,https://www.rottentomatoes.com/m/three_colors_white,Accepted: RT 91 meets threshold 80,metacritic_browse_1978_plus,radarr_lookup,false
I Am Cuba,1995,Spanish,Drama,100,https://www.rottentomatoes.com/m/i_am_cuba,Accepted: RT 100 meets threshold 80,metacritic_browse_1978_plus,radarr_lookup,false
Hit the Road,2022,Persian,Comedy|Drama,95,https://www.rottentomatoes.com/m/hit_the_road_2022,Accepted: RT 95 meets threshold 80,metacritic_browse_1978_plus,radarr_lookup,false
La Chimera,2024,Italian,Comedy|Drama,95,https://www.rottentomatoes.com/m/la_chimera,Accepted: RT 95 meets threshold 80,metacritic_browse_1978_plus,radarr_lookup,false
The Worst Person in the World,2022,Norwegian,Romance|Comedy|Drama,96,https://www.rottentomatoes.com/m/the_worst_person_in_the_world,Accepted: RT 96 meets threshold 80,metacritic_browse_1978_plus,radarr_lookup,false
