title,year,normalized_title,key,jellyfin_id,tmdb_id,imdb_id
Legend (2015),2015,legend,legend|2015,f12f095370b5150ac7d7a7b51cad4410,276907,tt3569230
Legends of the Fall,1994,legends of the fall,legends of the fall|1994,2147e3d6645e1fbd8e8148d24d19d304,4476,tt0110322
The Lego Movie,2014,lego movie,lego movie|2014,3d9d2e3c7d0bd7245897c5693fbaeb64,137106,tt1490017
Léon- The Professional (1994),1994,leon the professional,leon the professional|1994,38a5af2051b4082d84d2f92ba641f01a,101,tt0110413
Les Misérables (2012),2012,les miserables,les miserables|2012,b01bfc46757c3bee84384a8bb150cec7,82695,tt1707386
Les Misérables (1998),2019,les miserables,les miserables|2019,f77344cc91d82693378054bd61409a97,586863,tt10199590
Let Me In (2010),2011,let me in,let me in|2011,d7e670f3e850e4a5529650a32cdba2d6,41402,tt1228987
Let the Bullets Fly (2010),2010,let the bullets fly,let the bullets fly|2010,7f217ff7fa8322c9ca4663011091dd2a,51533,tt1533117
Lethal Weapon 2 (1989),1989,lethal weapon 2,lethal weapon 2|1989,0d5e67880173b2c1128cd75cf1ed839e,942,tt0097733
Lethal Weapon 3 (1992),1992,lethal weapon 3,lethal weapon 3|1992,1526aecd2ad5f984d64cb31c0b996c12,943,tt0104714
Lethal Weapon 4 (1998),1998,lethal weapon 4,lethal weapon 4|1998,c3cdcad81904a8e811743c8ec3f48fe4,944,tt0122151
Lethal Weapon (1987),1987,lethal weapon,lethal weapon|1987,431ae7e4b2599826f37f16fb71f4272f,941,tt0093409
Levitated.Mass,2013,levitated mass,levitated mass|2013,387af23f52a9bc9a4cc7b6233f88e394,230836,tt2992220
Liar Liar (1997),1997,liar liar,liar liar|1997,aaa657943294b1ddb6913d587b8eb91e,1624,tt0119528
Licence to Kill (1989),1989,licence to kill,licence to kill|1989,77d637557a384f10187d849a50fd1970,709,tt0097742
Licorice Pizza,2021,licorice pizza,licorice pizza|2021,133d0f35a8c8245ff14ecd1c97121e25,718032,tt11271038
Life Is Beautiful,1997,life is beautiful,life is beautiful|1997,55e8586e940e27ca77f395982937ca6f,637,tt0118799
Life Is Beautiful (2022),2022,life is beautiful,life is beautiful|2022,cd897bf8085c44c2e8b1eca654c37134,616670,tt13236270
Life of Crime (2013),2013,life of crime,life of crime|2013,67234e85205c82c09333d967f37008cb,209189,tt1663207
The Life of David Gale (2003),2003,life of david gale,life of david gale|2003,5057307e8f366774a5ef0ef7197d2469,11615,tt0289992
Life of Pi,2012,life of pi,life of pi|2012,e18365192b56390d53b88627e323f2e1,87827,tt0454876
The Lighthouse,2019,lighthouse,lighthouse|2019,8a73685b1f8dac0979d222c633de2bb3,503919,tt7984734
Like a Rolling Stone- The Life & Times of Ben Fong-Torres (2021),2021,like a rolling stone the life and times of ben fong torres,like a rolling stone the life and times of ben fong torres|2021,c2581d33e6032f87d77f4c7c3d82fff6,822256,tt9660510
"Like Father, Like Son (2013)",2013,like father like son,like father like son|2013,9eafb5db09b3ef73220b07e6da9cc08c,177945,tt2331143
Lilo & Stitch (2002),2002,lilo and stitch,lilo and stitch|2002,0f7c29ef061fb375030ae9d25dbbdaaf,11544,tt0275847
Limitless (2011),2011,limitless,limitless|2011,3ae206659d4c97e51a7bd7631b5b4650,51876,tt1219289
The Lincoln Lawyer (2011),2011,lincoln lawyer,lincoln lawyer|2011,b193e1bc8fdb577305007999b7bc7696,50348,tt1189340
Lincoln (2012),2012,lincoln,lincoln|2012,cddb2737b988a83d85dba6b62791503c,72976,tt0443272
The Lion King 1½ (2004),2004,lion king 11 2,lion king 11 2|2004,ed841ade872922be9f756d48b98225a1,11430,tt0318403
The Lion King II- Simba's Pride (1998),1998,lion king ii simbas pride,lion king ii simbas pride|1998,3b395bc31f66794b0fc73adf5b66dd1f,9732,tt0120131
The Lion King,1994,lion king,lion king|1994,3dfccada63663e599153876057d8383d,8587,tt0110357
Lion of the Desert (1981),1980,lion of the desert,lion of the desert|1980,6ebeb0df1d6f48a0959e01bbc9d0496f,26843,tt0081059
Lion,2016,lion,lion|2016,23ece55d30df4f6281814faab9cc227d,334543,tt3741834
Little Boy (2015),2015,little boy,little boy|2015,ec2c38234bbc445e5f18a1e0a7dc499d,256962,tt1810683
Little Man Tate (1991),1991,little man tate,little man tate|1991,8580af56d87b9d5639ff6737e5922340,11521,tt0102316
The Little Mermaid,1989,little mermaid,little mermaid|1989,be133f9734da7534d8a3d045f5846cd9,10144,tt0097757
The Little Mermaid (2023),2024,little mermaid,little mermaid|2024,28b5f4ce5d418322ad9a96007a1410d9,1279596,tt27722894
Little Miss Sunshine (2006),2006,little miss sunshine,little miss sunshine|2006,1157535b2a0fdd834e77124ebf7d6fa8,773,tt0449059
Little Nicholas,2009,little nicholas,little nicholas|2009,e3f55dd6aa67bd55671bed71bad5f2f6,31203,tt1264904
The Little Prince (2015),2015,little prince,little prince|2015,6c1d64a1679fe99b88385efdf26c4dfb,309809,tt1754656
Little Women,1994,little women,little women|1994,bd09a4196e7e5809598231433335e592,9587,tt0110367
Little Women,2019,little women,little women|2019,26575e913236bb89c61501bc1860e121,331482,tt3281548
Live Free or Die Hard (2007),2007,live free or die hard,live free or die hard|2007,d51ef67085aa02ab36ad92d3c1064cb4,1571,tt0337978
The Lives of Others (2006),2006,lives of others,lives of others|2006,5d7af0f2f34c7bed73f2d7bb83062cb8,582,tt0405094
The Living Daylights (1987),1987,living daylights,living daylights|1987,64408a688c428d08b7871ce73f00f732,708,tt0093428
Lo and Behold- Reveries of the Connected World (2016),2016,lo and behold reveries of the connected world,lo and behold reveries of the connected world|2016,2bf6c1f50c5601f5541e411670582e0d,360030,tt5275828
The Lobster (2015),2015,lobster,lobster|2015,7a9ac67470a7dc82b18d7ea5a96a828e,254320,tt3464902
"Lock, Stock and Two Smoking Barrels (1998)",1998,lock stock and two smoking barrels,lock stock and two smoking barrels|1998,46ad4a99a8c5b963b66e4c17e1fe9c2e,100,tt0120735
Logan,2017,logan,logan|2017,cf096a891c555fef4c84f0a6112a7f60,263115,tt3315342
Lolita,1962,lolita,lolita|1962,f49400e60289192018c9d271e2f67544,802,tt0056193
Lone Survivor (2013),2013,lone survivor,lone survivor|2013,2db50a82b68745340416d1482079c359,193756,tt1091191
The Long Walk (2025),2025,long walk,long walk|2025,efe7b6ea212273b5cf6ee64cb3df6315,604079,tt10374610
The Longest Ride (2015),2015,longest ride,longest ride|2015,c20692bd11ab7065e5c35ccd57bfd926,228205,tt2726560
The Longest Yard (2005),2005,longest yard,longest yard|2005,eef6c7b116ebae4881ffbba2723bf485,9291,tt0398165
Looper (2012),2012,looper,looper|2012,3793c7ae567664877b4a106c0f77f7f4,59967,tt1276104
The Lorax,1972,lorax,lorax|1972,919b7e9bb89e72f3453899215d8af2c6,38060,tt0213065
The Lorax (2012),2012,lorax,lorax|2012,661f19df7a47369cc16605e4faa44a04,73723,tt1482459
The Lord of the Rings- The Fellowship of the Ring (2001),2001,lord of the rings the fellowship of the ring,lord of the rings the fellowship of the ring|2001,2ab019b5b9511e71c0230967b7a8ff62,120,tt0120737
The Lord of the Rings: The Return of the King,2003,lord of the rings the return of the king,lord of the rings the return of the king|2003,d50dacc76f9734e2be54b09ab4c3a511,122,tt0167260
The Lord of the Rings: The Two Towers,2002,lord of the rings the two towers,lord of the rings the two towers|2002,69dad73bb1c9fa1378cb34b6e7067007,121,tt0167261
Lord of War (2005),2005,lord of war,lord of war|2005,61d9215cd0b5fafd029f3228e9844c33,1830,tt0399295
The Lost Boys of Mercury (2023),2023,lost boys of mercury,lost boys of mercury|2023,4aa71a60504b641a4eff65611ab67c0b,1000563,tt16148552
The Lost Daughter,2021,lost daughter,lost daughter|2021,d208ed3b015e3e880e03b64bc8bfdc1f,554230,tt9100054
Lost in Translation,2003,lost in translation,lost in translation|2003,9aee05849b8f927f181bd7af43a96cce,153,tt0335266
The Lost World- Jurassic Park (1997),1997,lost world jurassic park,lost world jurassic park|1997,f0fb09387c96f3bb61c4fb9234138000,330,tt0119567
A Lot Like Love (2005),2005,lot like love,lot like love|2005,6bbe9ab98a3e7fed074c211ccffad368,8976,tt0391304
Love Actually (2003),2003,love actually,love actually|2003,61dad4b355d673a0a9e57a4d66662a23,508,tt0314331
Love & Friendship (2016),2016,love and friendship,love and friendship|2016,00b9e29e3169a31826b053231dd7edd4,296360,tt3068194
Love in the Time of Cholera (2007),2007,love in the time of cholera,love in the time of cholera|2007,a4aab18dbf983f830aa54cb31d480d39,6639,tt0484740
Lucky Number Slevin (2006),2006,lucky number slevin,lucky number slevin|2006,f6c21b9ee259af744c3c2aeb3f89517c,186,tt0425210
Lucy (2014),2014,lucy,lucy|2014,95742b5f9eda4cf31246a12fceb01bb9,240832,tt2872732
The Lunchbox (2013),2013,lunchbox,lunchbox|2013,efa9a0cf18e5c09f2020c608079d4923,191714,tt2350496
Macbeth (2015),2015,macbeth,macbeth|2015,a7657207be79d0c6d6152acd6ed8f31f,225728,tt2884018
Machete (2010),2010,machete,machete|2010,9aff21cd6c8c6f005d844a7685017966,23631,tt0985694
The Machine (2013),2013,machine,machine|2013,ce6b48e83c557720fa18f7bc6fb05c49,174675,tt2317225
The Machinist (2004),2004,machinist,machinist|2004,1c48a39ca3cd76cb538b7378f22a25d3,4553,tt0361862
Mad Max 2 (1981),1981,mad max 2,mad max 2|1981,4018d13c18499933cd83a0803cf1e0dc,8810,tt0082694
Mad Max Beyond Thunderdome (1985),1985,mad max beyond thunderdome,mad max beyond thunderdome|1985,fd9d4def45761f08160bfc069c8da348,9355,tt0089530
Mad Max- Fury Road (2015),2015,mad max fury road,mad max fury road|2015,78d64362e9b6a444ba028106672f7f46,76341,tt1392190
Mad Max,1979,mad max,mad max|1979,512e4499bc0cb6138e53877e2ea4c3af,9659,tt0079501
Madagascar 3- Europe's Most Wanted (2012),2012,madagascar 3 europes most wanted,madagascar 3 europes most wanted|2012,053ff3ddba6cf667bffdf030f29de124,80321,tt1277953
Madagascar- Escape 2 Africa (2008),2008,madagascar escape 2 africa,madagascar escape 2 africa|2008,2d7b33cd8cda712488ccc01dcdae7ffe,10527,tt0479952
Madagascar (2005),2005,madagascar,madagascar|2005,1e9760fc0203a77feb05023734a6a1a4,953,tt0351283
Maggie's Plan,2016,maggies plan,maggies plan|2016,89fb29c075bfd0af9e575c601ff60463,312669,tt3471098
Magic Beyond Words- The J.K. Rowling Story (2011),2011,magic beyond words the j k rowling story,magic beyond words the j k rowling story|2011,ca945fabc4c2d8b58d0a19a3bc82093f,80530,tt1979269
Magic Mike XXL (2015),2015,magic mike xxl,magic mike xxl|2015,df296d3000a065815db3131d8487dee9,264999,tt2268016
The Magnificent Seven,1960,magnificent seven,magnificent seven|1960,5817ac074e6fe4459fe3c6dd539c6ce6,966,tt0054047
Magnolia (1999),1999,magnolia,magnolia|1999,9571c35a6d65e37225e0d0febc5bdb28,334,tt0175880
The Making Of Jurassic Park III (2001),2001,making of jurassic park iii,making of jurassic park iii|2001,7ceb6e2bcf4a5fd4b1dba1bfa49d4c0c,1200709,tt0362841
The Making of 'Jurassic Park' (1995),1995,making of jurassic park,making of jurassic park|1995,1bb82c3c2d608d725b8de50372bf55ef,150354,tt0256908
The Making of 'The Lost World' (1997),1997,making of the lost world,making of the lost world|1997,0296099d59e5c3ea7d6370c8b1251914,456701,tt0254542
Malcolm X,1992,malcolm x,malcolm x|1992,c5ec15ca58f37877ccd9c18a1405d467,1883,tt0104797
Malena (2000),2000,malena,malena|2000,44740926f6c334b678ceb6255855ef9d,10867,tt0213847
Man of Steel (2013),2013,man of steel,man of steel|2013,b240f0f91017b16db44de505b4abfc09,49521,tt0770828
Man on Fire (2004),2004,man on fire,man on fire|2004,4ab9b77facb0383d56a8043997a8b129,9509,tt0328107
Manchester by the Sea,2016,manchester by the sea,manchester by the sea|2016,56b3aeb8b28c7b8c1324fcb1cc201e1f,334541,tt4034228
Mank,2020,mank,mank|2020,32358cf2b1fd93cbd3a5bbe9048d9a70,614560,tt10618286
March of the Penguins 2: The Next Step,2017,march of the penguins 2 the next step,march of the penguins 2 the next step|2017,5ebeeee3d9305c56072a849ebce355a4,405931,tt5852632
March of the Penguins,2005,march of the penguins,march of the penguins|2005,2b2f6624c4c7e44312598c53033ddd07,1667,tt0428803
Margin Call (2011),2011,margin call,margin call|2011,61dcec5fc82935eecfa6b3283423ffd1,50839,tt1615147
Marley (2012),2012,marley,marley|2012,e5204ca8f1f5c4727de6801745a5c683,90125,tt1183919
Marriage Story,2019,marriage story,marriage story|2019,d3816d14f4bc04a3ed398f641c421448,492188,tt7653254
Mars Attacks! (1996),1996,mars attacks,mars attacks|1996,0f8c476c4c0020e7b8e18a9380205bf8,75,tt0116996
Martha Marcy May Marlene (2011),2011,martha marcy may marlene,martha marcy may marlene|2011,933151bf798451b18f88a64c3976373b,50837,tt1441326
The Martian,2015,martian,martian|2015,3585bdfed17203ee73e047140af2e9e1,286217,tt3659388
Marty Supreme,2025,marty supreme,marty supreme|2025,d722b44e2988559202643ca7e3ef4f5c,1317288,tt32916440
Mary and Max (2009),2009,mary and max,mary and max|2009,e131c448e9d120f98370c40246f29eeb,24238,tt0978762
The Mask of Zorro (1998),1998,mask of zorro,mask of zorro|1998,11ba0246dab2707cbec36eaba01628e4,9342,tt0120746
The Mask (1994),1994,mask,mask|1994,b44fea35c4b1ea1271c899206d5238d1,854,tt0110475
Master and Commander- The Far Side of the World (2003),2003,master and commander the far side of the world,master and commander the far side of the world|2003,0d3e30ccdceb94b53d2638798aa81579,8619,tt0311113
The Master (2012),2012,master,master|2012,f28afce5e6f9db897568ef035b0e7e49,68722,tt1560747
The Matador,2005,matador,matador|2005,1895891fee80a80a516e11cc78a54f68,9515,tt0365485
Match Point (2005),2005,match point,match point|2005,47c2a9bc5caa1e10a3ed8087504ceb17,116,tt0416320
Matchstick Men (2003),2003,matchstick men,matchstick men|2003,989df52fa311b1d64a5d956eb229b50b,7270,tt0325805
Matilda,1996,matilda,matilda|1996,f375f4594bd8fe4b9f33048a3354ce54,10830,tt0117008
The Matrix Reloaded (2003),2003,matrix reloaded,matrix reloaded|2003,6cafbcb6af9ac9164165e08410c7e81a,604,tt0234215
The Matrix Resurrections (2021),2021,matrix resurrections,matrix resurrections|2021,350d8a8f314d8d7d345a14e7390454e1,624860,tt10838180
The Matrix Revolutions (2003),2003,matrix revolutions,matrix revolutions|2003,1e027d4dc888b8dfdaed09e2fe17bcff,605,tt0242653
The Matrix (1999),1999,matrix,matrix|1999,fce86f5296268f495ecd3e068036e21c,603,tt0133093
A Matter of Loaf and Death (2008),2008,matter of loaf and death,matter of loaf and death|2008,d29e407709a63f0945a095a1fd925eb4,14447,tt1118511
Maverick (1994),1994,maverick,maverick|1994,43694d5ac06bdfc1526f0cc98b490f91,9359,tt0110478
May December,2023,may december,may december|2023,1e89e994a743f0186abf3c025a945c86,839369,tt13651794
Maze Runner: The Scorch Trials,2015,maze runner the scorch trials,maze runner the scorch trials|2015,c876788c2a93c546fa1ebfbcbe051efb,294254,tt4046784
The Maze Runner (2014),2014,maze runner,maze runner|2014,d0011e996400d4347276df0cf261323c,198663,tt1790864
Mean Girls (2004),2024,mean girls,mean girls|2024,8e6beb117e48a56985f8c126100d048b,673593,tt11762114
Mean Streets,1973,mean streets,mean streets|1973,ced8df0b721822c60cb711589b9ab63c,203,tt0070379
The Mechanic (2011),2011,mechanic,mechanic|2011,bed8dae5cce8b364b3b5218d7b90c806,27582,tt0472399
The Meddler (2016),2015,meddler,meddler|2015,625fd9ffd4eab461dc9b253efcd3d272,337154,tt4501454
Meet the Fockers (2004),2004,meet the fockers,meet the fockers|2004,9b91c1894bdbe38fc05ade153ec80e00,693,tt0290002
Meet the Parents (2000),2000,meet the parents,meet the parents|2000,294c6da303584e45ae5df29d998ed651,1597,tt0212338
Memento,2000,memento,memento|2000,cc16eb435c8a0147a96e76009203baa9,77,tt0209144
Memoirs of a Geisha (2005),2005,memoirs of a geisha,memoirs of a geisha|2005,7ef82e2808ce638f6e880387f160920d,1904,tt0397535
Men in Black 3 (2012),2012,men in black 3,men in black 3|2012,75eeb6c4c88bfc5101675a8538babd31,41154,tt1409024
Men in Black II (2002),2002,men in black ii,men in black ii|2002,0298c8887412fd73f64c7639b5204dfd,608,tt0120912
Men in Black- International (2019),2019,men in black international,men in black international|2019,af315055ad346c79b430cfa26bfcc235,479455,tt2283336
Men in Black (1997),1997,men in black,men in black|1997,e806948fe3fd27c011581e790b6afcea,607,tt0119654
The Men Who Stare at Goats (2009),2009,men who stare at goats,men who stare at goats|2009,fefddd46189a3df3e53568b4b4bcaa03,10313,tt1234548
Merchants of Doubt (2014),2014,merchants of doubt,merchants of doubt|2014,7733e556d0f6d9124e2110e395489d95,288789,tt3675568
The Messengers (2007),2007,messengers,messengers|2007,1a85a35e3ef3db305b26ad319bfe200c,9966,tt0425430
Metallica- Through the Never (2013),2013,metallica through the never,metallica through the never|2013,a7d27808b8ae97c5d9251f7ee6622e86,193613,tt2172935
Miami Vice (2006),2006,miami vice,miami vice|2006,30b806bd65e4980bb01d12e0828509e1,82,tt0430357
Midnight Cowboy,1969,midnight cowboy,midnight cowboy|1969,fc1a12c68f76b5ef49cedf3c4c75ffb9,3116,tt0064665
Midnight in Paris (2011),2011,midnight in paris,midnight in paris|2011,ca1e25e2919595a1ed70f9f654be808c,59436,tt1605783
Midnight Special (2016),2016,midnight special,midnight special|2016,35d1bf536a23c07fc95b88fd87a4f654,245703,tt2649554
Miles Ahead (2016),2015,miles ahead,miles ahead|2015,ea51276a7be734e471177b7cc310af01,316000,tt0790770
Million Dollar Arm (2014),2014,million dollar arm,million dollar arm|2014,1fa549caad4cd0abdc84dd87dec8ffa4,198185,tt1647668
Million Dollar Baby (2004),2004,million dollar baby,million dollar baby|2004,dc3cba687e88ce8e6fb2d6fc494eb109,70,tt0405159
Minari,2021,minari,minari|2021,0f1e266f97170169acb43f653e144b95,615643,tt10633456
Mindhunters (2004),2004,mindhunters,mindhunters|2004,25e8971504b145dc7af3b836df5a47d3,16617,tt0297284
Minority Report,2002,minority report,minority report|2002,09f2ce5c35ac9ba6a4f83919dfdfc490,180,tt0181689
Miss Congeniality 2- Armed and Fabulous (2005),2005,miss congeniality 2 armed and fabulous,miss congeniality 2 armed and fabulous|2005,a26ae84fe5cf71b85cff878995b8dc60,10040,tt0385307
Miss Congeniality,2000,miss congeniality,miss congeniality|2000,deba06fde3d0936cccc4bf38ae19fd3f,1493,tt0212346
Mission: Impossible - Dead Reckoning Part One,2023,mission impossible dead reckoning part one,mission impossible dead reckoning part one|2023,a1276292a64b5e5fcd242ac096c70354,575264,tt9603212
Mission- Impossible - Ghost Protocol (2011),2011,mission impossible ghost protocol,mission impossible ghost protocol|2011,c5221a57d9e6f0c1851cdc47cca6ed32,56292,tt1229238
Mission: Impossible II,2000,mission impossible ii,mission impossible ii|2000,9f4c0ceda5fdd691835ea65098c9c70c,955,tt0120755
Mission- Impossible III (2006),2006,mission impossible iii,mission impossible iii|2006,487bf760aefe7c1a4749e756980143a1,956,tt0317919
Mission: Impossible - Rogue Nation,2015,mission impossible rogue nation,mission impossible rogue nation|2015,30868f58a05683ac4d6105d2c1ba6f89,177677,tt2381249
Mission: Impossible - The Final Reckoning,2025,mission impossible the final reckoning,mission impossible the final reckoning|2025,f4ba5c862999f21b07970ade9971315e,575265,tt9603208
Mission- Impossible (1996),1996,mission impossible,mission impossible|1996,5299886636ee3b241cbbc567b3e11a86,954,tt0117060
Mississippi Burning,1988,mississippi burning,mississippi burning|1988,08b71ba6d82092c0fdcdef8c72c13d4e,1632,tt0095647
Mississippi Grind (2015),2015,mississippi grind,mississippi grind|2015,d260af345cf49ec56bfa52e46da064a9,309242,tt2349144
The Mistress of Spices (2005),2005,mistress of spices,mistress of spices|2005,d5daeb55fab538178473a410ac02c317,9724,tt0407998
Mona Lisa Smile (2003),2003,mona lisa smile,mona lisa smile|2003,275310fa71b0e21c14ba6e4550546016,11820,tt0304415
Money Monster (2016),2016,money monster,money monster|2016,316e438df8da63fc8c4c16012563fe5a,303858,tt2241351
Money (2016),2016,money,money|2016,687a271d1cc329f4dc7c933598c1f32a,422874,tt4715356
Moneyball (2011),2011,moneyball,moneyball|2011,620eb5513b4bb280817119db2fc0f6aa,60308,tt1210166
Monsieur Lazhar,2011,monsieur lazhar,monsieur lazhar|2011,3cfa4e28ad0d6b2e1ddbc7af364d6fdb,78480,tt2011971
A Monster in Paris (2011),2011,monster in paris,monster in paris|2011,9bf781f3244199d1ec7b3c57da7f5636,77459,tt0961097
Monster (2003),2003,monster,monster|2003,4aeaeac137f8a008a33abe0e7f6a9d4b,504,tt0340855
Monster's Ball,2001,monsters ball,monsters ball|2001,a375151446c0034ef7541eda4675a12e,1365,tt0285742
"Monsters, Inc.",2001,monsters inc,monsters inc|2001,e448ff5f1ac665542bf2dae8596588eb,585,tt0198781
Monsters vs Aliens (2009),2009,monsters vs aliens,monsters vs aliens|2009,aa9c9b62102e25ca0b66d7d6818981b4,15512,tt0892782
The Monuments Men (2014),2014,monuments men,monuments men|2014,ff79634d15dba4fbf15b50df9963bce6,152760,tt2177771
Moon (2009),2009,moon,moon|2009,9a58f4cbfeedb5ff2953f68942742b76,17431,tt1182345
Moonlight,2016,moonlight,moonlight|2016,6607a18904f326a2db3e85725d3dd786,376867,tt4975722
Moonstruck (1987),1987,moonstruck,moonstruck|1987,b67addb0486c64523cdf510e7439d966,2039,tt0093565
Morning Glory (2010),2010,morning glory,morning glory|2010,4a579c673783096aad47a77e44ea7be7,38357,tt1126618
A Most Violent Year,2014,most violent year,most violent year|2014,78acf3300054931e0c45210cad3fc042,241239,tt2937898
A Most Wanted Man (2014),2014,most wanted man,most wanted man|2014,d0082e245147c8b1575a7d89810213fa,157849,tt1972571
The Motel Life (2013),2012,motel life,motel life|2012,fd5c0863a3c9446d24459e1ba74df6f1,80318,tt1559036
Mountains May Depart (2015),2015,mountains may depart,mountains may depart|2015,96d17b4dda6be31b971b9a50cdc16231,314388,tt3740778
Mr. & Mrs. Smith (2005),2005,mr and mrs smith,mr and mrs smith|2005,f7d6bebecf7de37b09d83c22b2a58abd,787,tt0356910
Mr. Bean's Holiday,2007,mr beans holiday,mr beans holiday|2007,db52ee9fa2527b71ec44285d789be03b,1268,tt0453451
Mr. Brooks (2007),2007,mr brooks,mr brooks|2007,b4df0154456070ed8f76692e9165ce1d,3432,tt0780571
Mr. Church (2016),2016,mr church,mr church|2016,cc976afd908689d95fc925fceba3ca3d,374461,tt4196848
Mr. Deeds (2002),2002,mr deeds,mr deeds|2002,9cff7245b077a6559d744af20a033c7c,2022,tt0280590
Mr. Monk's Last Case: A Monk Movie,2023,mr monks last case a monk movie,mr monks last case a monk movie|2023,eb0e3167f874e78e5acc0817424771b3,1100795,tt27145269
Mr. Nobody (2009),2009,mr nobody,mr nobody|2009,001714d98847857e1ff11a4d7f03c56f,31011,tt0485947
Mrs. Doubtfire (1993),1993,mrs doubtfire,mrs doubtfire|1993,ede9e801ee57d39923538b1676479723,788,tt0107614
Much Ado About Nothing (2013),2012,much ado about nothing,much ado about nothing|2012,41f9a6c798148f385a4da8db580e073c,1025701,tt2094064
Mud,2013,mud,mud|2013,a354505ddcc838b5785ae27a8ab3ea4a,103731,tt1935179
Mulan (1998),1998,mulan,mulan|1998,c4f8cff6bd58c9cbeb13011a679921e7,10674,tt0120762
Mulholland Drive,2001,mulholland drive,mulholland drive|2001,879ad655c878481f16c7a7a74cae6edc,1018,tt0166924
The Mummy Returns (2001),2001,mummy returns,mummy returns|2001,c7c70d91045d71b5a4fe71c455421c1a,1734,tt0209163
The Mummy (1999),1999,mummy,mummy|1999,3a19aa0e056810b31e1507db65298999,564,tt0120616
Munich (2005),2005,munich,munich|2005,0bdc8ccb00fa3790775e70ad49d24741,612,tt0408306
My Best Friend's Wedding (1997),1997,my best friends wedding,my best friends wedding|1997,dc1489065e5f7b8907ebc5218576ee21,8874,tt0119738
My Big Fat Greek Wedding (2002),2002,my big fat greek wedding,my big fat greek wedding|2002,b5484f8334c8523dad6ff0a30d5999e6,8346,tt0259446
My Blueberry Nights (2007),2007,my blueberry nights,my blueberry nights|2007,21126679b86afd3c5a4bdc007d608447,1989,tt0765120
My Left Foot: The Story of Christy Brown,1989,my left foot the story of christy brown,my left foot the story of christy brown|1989,827bc27d4d5c7a2a7f4fb60a81c31a4a,10161,tt0097937
My Neighbor Totoro (1988),1988,my neighbor totoro,my neighbor totoro|1988,fed464670db25cf4d42ae1e06bd77af0,8392,tt0096283
My Neighbors the Yamadas (1999),1999,my neighbors the yamadas,my neighbors the yamadas|1999,ce611a94cd2807878e222148d9ca53d1,16198,tt0206013
My Super Ex-Girlfriend (2006),2006,my super ex girlfriend,my super ex girlfriend|2006,3df02cd12913130e01dbfc0950aea6ef,4474,tt0465624
Mystic River (2003),2003,mystic river,mystic river|2003,12b7c8ecf42aef58a91608390db6b70f,322,tt0327056
The Name of the Rose (1986),1986,name of the rose,name of the rose|1986,92233304082bd400e97e411ce0849c88,192,tt0091605
Narc (2002),2002,narc,narc|2002,85527d31a6a02b8f03fc0c85f73525be,11022,tt0272207
National Theatre Live- Dr. Strangelove (2025),2025,national theatre live dr strangelove,national theatre live dr strangelove|2025,ae0a0b051dac871696571ad5998a39de,1401957,tt35396958
National Treasure (2004),2004,national treasure,national treasure|2004,8f4b463d079ef53ac3f9f7272cae8334,2059,tt0368891
natural.resistance,2014,natural resistance,natural resistance|2014,51b0550c84b4b5ade693211ae3b55ac8,256214,tt3524578
Nausicaä of the Valley of the Wind (1984),1984,nausicaa of the valley of the wind,nausicaa of the valley of the wind|1984,b844beee990f204bd3d24c8386ee2ab3,81,tt0087544
Nebraska (2013),2013,nebraska,nebraska|2013,fa54a51eb417b435158126c7ac9c1199,129670,tt1821549
Need for Speed (2014),2014,need for speed,need for speed|2014,51e3bac6e3faa86960eb2e4ab54417f7,136797,tt2369135
Neighbors (2014),2014,neighbors,neighbors|2014,f8a176db870524fde00a36195c969a0b,195589,tt2004420
Nerve (2016),2016,nerve,nerve|2016,e25f7460e45a561900fb0b5fb3be1fc8,328387,tt3531824
Network,1976,network,network|1976,28eee0d4e2a66c6ce0adea8587ba7bc2,10774,tt0074958
Never Rarely Sometimes Always,2020,never rarely sometimes always,never rarely sometimes always|2020,cf0fc92882927d718f48ea43ac06dbd0,595671,tt7772582
Never Say Never Again (1983),1983,never say never again,never say never again|1983,e80081007ded8cb084b72cb5ebf25ff0,36670,tt0086006
The NeverEnding Story (1984),1984,neverending story,neverending story|1984,b7b2271039ae5b82f4675e6a4e9aa39e,34584,tt0088323
The New World (2005),2005,new world,new world|2005,b69f7a2928c4f297e7c6196188ba8582,11400,tt0402399
The Next Three Days (2010),2010,next three days,next three days|2010,a7317eaf7f34e41233525203331253be,43539,tt1458175
The Nice Guys (2016),2016,nice guys,nice guys|2016,64410993f1e765e58606aea7fb65226a,290250,tt3799694
Night and Fog (1956),1956,night and fog,night and fog|1956,c88c449eb6dc725fd1cbd9c13e93e695,803,tt0048434
Night at the Museum,2006,night at the museum,night at the museum|2006,2d63a4d77579aef15e9713827d05cac3,1593,tt0477347
Night Moves (2014),2013,night moves,night moves|2013,b5c2c1f125a9370115d5489572e027b1,157823,tt2043933
Night Watch (1995),2004,night watch,night watch|2004,521ae79669eac8c4d60828dca1c42fe9,3040,tt0403358
Nightcrawler,2014,nightcrawler,nightcrawler|2014,858d5c392d44db376a563bd086c4db83,242582,tt2872718
Nightmare Alley,2021,nightmare alley,nightmare alley|2021,2115c1abd90bedf71cb9fd8e4b0e1436,597208,tt7740496
The Nightmare Before Christmas (1993),1993,nightmare before christmas,nightmare before christmas|1993,9b201c84bb2a9fe4dfbde1e505578349,9479,tt0107688
