title,year,normalized_title,key,jellyfin_id,tmdb_id,imdb_id
Along Came Polly (2004),2004,along came polly,along came polly|2004,fa037226840f719f10e5e63b17424205,5966,tt0343135
Alvin and the Chipmunks Meet the Wolfman (2000),2000,alvin and the chipmunks meet the wolfman,alvin and the chipmunks meet the wolfman|2000,ac4428f29d8a1e72339c73ec5da5a111,48246,tt0252227
The Amazing Spider-Man 2 (2014),2014,amazing spider man 2,amazing spider man 2|2014,3a3dfa891ab06aa974fea38e55173058,102382,tt1872181
The Amazing Spider-Man,2012,amazing spider man,amazing spider man|2012,ba304c75cbed8982c6c64af75a5bea06,1930,tt0948470
Amélie,2001,amelie,amelie|2001,55221c5f9cadbb5bdec17c5c71791ca4,194,tt0211915
American Beauty,1999,american beauty,american beauty|1999,1354b840db5fb0cd508c8b213a986dfe,14,tt0169547
American Dreamz (2006),2006,american dreamz,american dreamz|2006,5a20f6b923fd931aca76868402222f00,9310,tt0465142
American Gangster (2007),2007,american gangster,american gangster|2007,54cf4c6682dc5cd39bb8db28ad9474ff,4982,tt0765429
American History X (1998),1998,american history x,american history x|1998,561784206bf0314088c17405e9c4a123,73,tt0120586
American Honey (2016),2016,american honey,american honey|2016,273ec09aaf7cf4ddd833aa9e7115b7d2,340485,tt3721936
American Hustle,2013,american hustle,american hustle|2013,637249459d154ea5a112cb8257c2451c,168672,tt1800241
American Pie Presents- Band Camp (2005),2005,american pie presents band camp,american pie presents band camp|2005,38512bab13c396bed71063b1ed27c18c,8274,tt0436058
American Pie Presents- Beta House (2007),2007,american pie presents beta house,american pie presents beta house|2007,3ed7a2c3292fd01accfef8ba1ec580c5,8277,tt0974959
American Pie (1999),1999,american pie,american pie|1999,5e578b01f5425264c00d9d9d6513b376,2105,tt0163651
American Psycho II- All American Girl (2002),2002,american psycho ii all american girl,american psycho ii all american girl|2002,fb093aeb28ca830fd03f8b3c9088a1ee,10726,tt0283877
American Psycho (2000),2000,american psycho,american psycho|2000,e738177a7932aacdb417e9f6ed673ca7,1359,tt0144084
American Sniper (2014),2014,american sniper,american sniper|2014,bbc399ee22136e42615a6c3d9891fc7c,190859,tt2179136
American Splendor (2003),2003,american splendor,american splendor|2003,d36734f82d768ed3eabd6942c6bedee3,2771,tt0305206
American Wedding,2003,american wedding,american wedding|2003,98a194cb87244564b43ebd128d522326,8273,tt0328828
America's Sweethearts (2001),2001,americas sweethearts,americas sweethearts|2001,6fef5b072d3f681a0239fac82bb93d52,11467,tt0265029
Amores Perros (2000),2000,amores perros,amores perros|2000,2c62b2b3d257d1a2827ab9612842300b,55,tt0245712
Amour,2012,amour,amour|2012,82c51d0a5dc18e6972b9ab38a947a64b,86837,tt1602620
Amy (2015),2015,amy,amy|2015,4ae6417f80bf7be2214e50511efcce75,331781,tt2870648
Analyze That,2002,analyze that,analyze that|2002,c7cc250ceffb00ea4e7f16cf59ae1432,9932,tt0289848
Analyze This,1999,analyze this,analyze this|1999,8ce06a8d4b369598bbc366220df89f7e,9535,tt0122933
Anatomy of a Fall,2023,anatomy of a fall,anatomy of a fall|2023,d10619f61fba9f34bfb9b6f9d77ca878,915935,tt17009710
Anchorman- The Legend of Ron Burgundy (2004),2004,anchorman the legend of ron burgundy,anchorman the legend of ron burgundy|2004,eb33d173f1d8dd0470b481a782321fbb,8699,tt0357413
Angel Heart (1987),1987,angel heart,angel heart|1987,bb949b143ac72d7380061b60980c7d0e,635,tt0092563
Anger Management (2003),2003,anger management,anger management|2003,b0b5e1845c1de9802141b4d41fcb8fb7,9506,tt0305224
The Angry Birds Movie (2016),2016,angry birds movie,angry birds movie|2016,196b885cbb949546fdbe8bcd1f870343,153518,tt1985949
Animal House (1978),1978,animal house,animal house|1978,afe157e25fa339b873666fe388018f0d,8469,tt0077975
Animal Kingdom (2010),2010,animal kingdom,animal kingdom|2010,d7c9121d1428126696727685d29863a1,44629,tt1313092
The Animatrix (2003),2003,animatrix,animatrix|2003,af3874a13ca01b383bbf0f9dbd94ca7b,55931,tt0328832
Anna Karenina (2012),2012,anna karenina,anna karenina|2012,2832797f4914494af241b8d6afa1226a,96724,tt1781769
Annie Hall,1977,annie hall,annie hall|1977,9d39bd283f2e65b90dd44ff148d11a8d,703,tt0075686
Anora,2024,anora,anora|2024,241468a29c0068d567cf1c875fa3cee7,1064213,tt28607951
Another Round,2020,another round,another round|2020,fd94df093f8bd85bbdb8071227efbd07,580175,tt10288566
The Ant Bully (2006),2006,ant bully,ant bully|2006,0a674391fbaf9f3a89b3f929c017e8dc,9906,tt0429589
Ant-Man,2015,ant man,ant man|2015,8b3b112f89b0017833520d5d9d21debd,102899,tt0478970
Antarctica- A Year on Ice (2013),2013,antarctica a year on ice,antarctica a year on ice|2013,80d9e61a8247e5ed699896c011478b07,201132,tt2361700
Anthropoid (2016),2016,anthropoid,anthropoid|2016,677d5d73474e8b52816303ac25ccbf00,351339,tt4190530
Antitrust (2001),2001,antitrust,antitrust|2001,6c7e9106f57c5b6d2a44026729c82f29,9989,tt0218817
Antiviral (2012),2012,antiviral,antiviral|2012,ac268ad9aa3e871abab21922ffb36c16,125490,tt2099556
Any Day Now (2012),2012,any day now,any day now|2012,9c9c44bd73918068609d9f6dd3c531f5,105526,tt2066176
Any Given Sunday (1999),1999,any given sunday,any given sunday|1999,8b6cc3925f72e3b56736a46fe6c041ec,9563,tt0146838
The Apartment,1960,apartment,apartment|1960,99f801a6be73a93748472e1f4f306247,284,tt0053604
Apocalypse Now,1979,apocalypse now,apocalypse now|1979,654d4c38b33f1391686c91b701e19f55,28,tt0078788
Arbitrage,2012,arbitrage,arbitrage|2012,14fe0b8a10dc4890a4e39fcfb7490f2d,60599,tt1764183
Argo,2012,argo,argo|2012,1afa8ef2f14615ac1d04a9439267b95d,68734,tt1024648
Armageddon (1998),1998,armageddon,armageddon|1998,fd6d8c19e14bc0465ac91d0b9d37e5cf,95,tt0120591
Armour of God 3- Chinese Zodiac (2012),2012,armour of god 3 chinese zodiac,armour of god 3 chinese zodiac|2012,328969af1e9c111646dcb3cdf51a7068,98567,tt1424310
Arrival,2016,arrival,arrival|2016,00a6565d18d0cb56681ca044d69cd2f8,329865,tt2543164
The Art of War (2000),2000,art of war,art of war|2000,ae36d97a3d534980fd26c3d24eb52527,11398,tt0160009
As Good as It Gets,1997,as good as it gets,as good as it gets|1997,b0cd9668f01b424a5cabf1c94d9cd015,2898,tt0119822
Ask the Dust (2006),2006,ask the dust,ask the dust|2006,6944d1da79a00df2cb9bee9bfaf0420b,1967,tt0384814
The Assassination of Jesse James by the Coward Robert Ford,2007,assassination of jesse james by the coward robert ford,assassination of jesse james by the coward robert ford|2007,68f1badbf2fe2971eb60938884cd54ff,4512,tt0443680
Assault on Wall Street (2013),2013,assault on wall street,assault on wall street|2013,04e5e9cd0c95482c6647ef9f07bd3d48,184125,tt2368553
Atlantic City,1980,atlantic city,atlantic city|1980,0c0f2cb5d99ae803c5eadd9b96052253,23954,tt0080388
Atonement (2007),2007,atonement,atonement|2007,7d6f68f0a587f98f0ee10aff49d45970,4347,tt0783233
August- Osage County (2013),2013,august osage county,august osage county|2013,164311cb2534ccffc64a187253bbb962,152737,tt1322269
Avatar: The Way of Water,2022,avatar the way of water,avatar the way of water|2022,c948a8f3981c1927f6c60aa663032f1d,76600,tt1630029
Avatar,2009,avatar,avatar|2009,91d0b8e664026ea5b9f4965ad07d97f4,19995,tt0499549
Avengers- Age of Ultron (2015),2015,avengers age of ultron,avengers age of ultron|2015,f0a718fe971abc5f94035c55d15617ed,99861,tt2395427
Avengers: Endgame,2019,avengers endgame,avengers endgame|2019,2ef06847e86fef71adb94a9a2d1056e3,299534,tt4154796
Avengers: Infinity War,2018,avengers infinity war,avengers infinity war|2018,ec52cfdca5831454cfd08c575ce1c20d,299536,tt4154756
The Avengers,2012,avengers,avengers|2012,f49e7781b1e2842048e10d38bb04cb44,24428,tt0848228
The Aviator,2004,aviator,aviator|2004,8fe21e2f05205446bbf5601aecbd7e9f,2567,tt0338751
The Babadook (2014),2014,babadook,babadook|2014,37d8570c3c21778a328b58a9e6b4f184,242224,tt2321549
Babe,1995,babe,babe|1995,6505d7645e3c285ca45a548f3547351c,9598,tt0112431
Babel (2006),2006,babel,babel|2006,e7fe04ff20b25a871ca55e58312083ef,1164,tt0449467
Baby Boy,2001,baby boy,baby boy|2001,d168cd2265dcca6f2909b42f3414863e,16161,tt0255819
Back to the Future Part II (1989),1989,back to the future part ii,back to the future part ii|1989,1f6b3e63e754d6d04f4e0c8f1a36a680,165,tt0096874
Back to the Future Part III (1990),1990,back to the future part iii,back to the future part iii|1990,cd50acc83095e3ee3e9d815286bdf54d,196,tt0099088
Back to the Future,1985,back to the future,back to the future|1985,572fb7262ccfd9adf8983ed222848a04,105,tt0088763
Backdraft (1991),1991,backdraft,backdraft|1991,9e66c7ac5133ee4fb26c903851564a8b,2924,tt0101393
Bad Boys II (2003),2003,bad boys ii,bad boys ii|2003,a04d3823372e2f78ca8d72420aeed51e,8961,tt0172156
Bad Boys (1995),1995,bad boys,bad boys|1995,2cccc5acb0b7ee1a018929f7f7ba1c37,9737,tt0112442
The Bad Guys (2022),2022,bad guys,bad guys|2022,07021010dcaa88aa7bc7fda72990ddb0,629542,tt8115900
Bad Lieutenant (1992),1992,bad lieutenant,bad lieutenant|1992,12b3dd9abe99e6bd754e341d2eb3637e,12143,tt0103759
Bad Santa (2003),2003,bad santa,bad santa|2003,6f0a2414ac670e9b4384fa4aff110b9a,10147,tt0307987
Bad Words (2013),2013,bad words,bad words|2013,fab2e89f211e6a2d704d56d0330889df,209403,tt2170299
Bambi II (2006),2006,bambi ii,bambi ii|2006,077169c8dfa5c0931a3b44f1ac1a7a50,13205,tt0447854
Bambi (1942),1942,bambi,bambi|1942,96f67149bf2b6f22227c72476cfbee8b,3170,tt0034492
Bandidas,2006,bandidas,bandidas|2006,139305958209354f768d82030005cc2a,1969,tt0416496
The Bank Job (2008),2008,bank job,bank job|2008,d1567cad11153a26aaec9d5377502e43,8848,tt0200465
The Banshees of Inisherin,2022,banshees of inisherin,banshees of inisherin|2022,dfe8433ae113c0993146c7a7d56f7dbb,674324,tt11813216
Barbie- Star Light Adventure (2016),2016,barbie star light adventure,barbie star light adventure|2016,3a66c33fdd216957b51130d2c6c134c5,415749,tt5502946
Barbie,2023,barbie,barbie|2023,b1760fd6ce552d8db46b6c1f7ac769f6,346698,tt1517268
Barton Fink,1991,barton fink,barton fink|1991,b64c47951e74dd42456164ac7befa5f4,290,tt0101410
Basic Instinct (1992),1992,basic instinct,basic instinct|1992,843677d0641ebb92f235f9db59246882,402,tt0103772
The Basketball Diaries (1995),1995,basketball diaries,basketball diaries|1995,bc71dc22b876c2fc76ecdfa193cbb69e,10474,tt0112461
Batman & Robin (1997),1997,batman and robin,batman and robin|1997,2d5f6da80cd9d4052eb3aeb7b2d7ccc5,415,tt0118688
Batman Begins (2005),2005,batman begins,batman begins|2005,d99b1eb64678be10e5029fcf9f6e6036,272,tt0372784
Batman Forever (1995),1995,batman forever,batman forever|1995,17a2a36dad3dabc0363fa776e200ba51,414,tt0112462
Batman Returns (1992),1992,batman returns,batman returns|1992,3312c60663d882872efbb85c83fc1a5b,364,tt0103776
"Batman- The Dark Knight Returns, Part 1 (2012)",2012,batman the dark knight returns part 1,batman the dark knight returns part 1|2012,775ab586fc2ddabdefb249a1097a4e41,123025,tt2313197
"Batman- The Dark Knight Returns, Part 2 (2013)",2013,batman the dark knight returns part 2,batman the dark knight returns part 2|2013,55f04dc44aeaaf1fc4f268502480c2ba,142061,tt2166834
Batman v Superman- Dawn of Justice (2016),2016,batman v superman dawn of justice,batman v superman dawn of justice|2016,0a7ec494a4b579b209bc67099f2542da,209112,tt2975590
Batman (1989),1989,batman,batman|1989,f045f70c3d43e5823aeeb815ad22b5b7,268,tt0096895
The Battery (2012),2012,battery,battery|2012,380a934ec8888b75a76443de443b0e6c,177221,tt2272350
The Bay (2012),2012,bay,bay|2012,f268b33295c6917baa206909413d35a8,123105,tt1713476
Be Cool (2005),2005,be cool,be cool|2005,e249c0071f1a94a70ac60c4c005850f1,4551,tt0377471
The Beach Boys (2024),2024,beach boys,beach boys|2024,a7da444e33fdc6f23b4ba89b91a0af05,1265066,tt31922530
Beasts of the Southern Wild (2012),2012,beasts of the southern wild,beasts of the southern wild|2012,fe66be83cddd7307df3cfde0c8c950a8,84175,tt2125435
The Beat That My Heart Skipped (2005),2005,beat that my heart skipped,beat that my heart skipped|2005,343778998929c1bf2c08f121963cc950,1553,tt0411270
A Beautiful Mind,2001,beautiful mind,beautiful mind|2001,143fa44e35ff7e9b3a3b7e93996a5ad4,453,tt0268978
Beauty and the Beast (1991),1991,beauty and the beast,beauty and the beast|1991,7758b42ea94487f91eef87231c5777dd,10020,tt0101414
Becoming Katharine Graham (2025),2025,becoming katharine graham,becoming katharine graham|2025,90c55eeb0c18f430136ddf67264bfb32,1440608,tt34772319
Bedazzled (2000),2000,bedazzled,bedazzled|2000,0bb3811e322ad1b959e6b112d32dc994,1636,tt0230030
Bee Movie,2007,bee movie,bee movie|2007,8758effb0d668edd9670122b28b02d44,5559,tt0389790
Before Midnight,2013,before midnight,before midnight|2013,d013c959354e1895b8ddd9a3ab3a6cd9,132344,tt2209418
Before Sunrise,1995,before sunrise,before sunrise|1995,4ee57188c75f28c531326aa9ec753199,76,tt0112471
Before Sunset,2004,before sunset,before sunset|2004,b714e56993ac487fa592f13638ce77b3,80,tt0381681
Begin Again (2014),2013,begin again,begin again|2013,db6c0a1a9c030bd8b162a080d3fa9128,198277,tt1980929
Behind Enemy Lines (2001),2001,behind enemy lines,behind enemy lines|2001,d10c2537cc74dac3c7a11dcb4eaab97f,8007,tt0159273
Being John Malkovich,1999,being john malkovich,being john malkovich|1999,2a275555ecb47b2a79dfdb62d8851ed4,492,tt0120601
Belfast,2021,belfast,belfast|2021,3abf0f05981836edeb3dd4e9e206e5dd,777270,tt12789558
Believe Me: The Abduction of Lisa McVey,2018,believe me the abduction of lisa mcvey,believe me the abduction of lisa mcvey|2018,9a0e37945b1153ab43ecf9b75595622d,550776,tt9072202
Belle (2013),2013,belle,belle|2013,3dec6ce4d0ca51340253eca3e6ff5c46,205601,tt2404181
Belle (2021),2021,belle,belle|2021,d7ff3db3cea3544c0a744df816389fdd,776305,tt13651628
Bend It Like Beckham (2002),2002,bend it like beckham,bend it like beckham|2002,ebdd2cf5a99ada280241e0a9c0af8b33,455,tt0286499
